ORIGIN,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
GRB,2019,769,276,10.349527665317138,44.48507,-88.12959,"['ORD', 'ATL', 'MSP', 'DEN', 'DTW', 'MCO']",35.890767230169054
GRI,2019,35,13,3.8,40.96747,-98.30861,"['AZA', 'LAS']",37.142857142857146
GRK,2019,212,54,2.53,31.0649,-97.8278,['IAH'],25.471698113207548
GRR,2019,2184,721,4.894636924537257,42.88082,-85.52277,"['ORD', 'MSP', 'ATL', 'EWR', 'DTW', 'IAH', 'BWI', 'CLT', 'LAS', 'DEN', 'MDW', 'PHL', 'LGA', 'MCO', 'PHX', 'AZA', 'TPA', 'MIA', 'BNA', 'MSY', 'JAX']",33.01282051282051
GSP,2019,1667,571,6.025371287128713,34.89567,-82.21886,"['IAH', 'PHL', 'ATL', 'EWR', 'MIA', 'DEN', 'CLT', 'ORD', 'LGA', 'DTW', 'MCO', 'TPA', 'LAS', 'BWI', 'SJC']",34.253149370125975
GST,2019,8,3,-4.0,58.42438,-135.70738,['JNU'],37.5
GTF,2019,197,36,-6.25,47.482,-111.37069,"['LAS', 'AZA', 'SLC', 'ORD', 'MSP', 'DEN']",18.274111675126903
GTR,2019,226,64,8.0625,39.99799,-82.89188,['ATL'],28.31858407079646
GUC,2019,18,6,1.7777777777777777,38.53396,-106.93318,['IAH'],33.33333333333333
HDN,2019,135,57,29.186567164179106,40.48118,-107.21766,"['SAN', 'ORD', 'DEN', 'ATL', 'MSP', 'BOS', 'IAH', 'LAX', 'LGB', 'EWR', 'SFO']",42.22222222222222
HIB,2019,68,11,0.5882352941176471,47.3866,-92.83899,['MSP'],16.176470588235293
HLN,2019,145,44,-1.9655172413793103,46.60682,-111.98275,"['MSP', 'SLC', 'DEN']",30.344827586206897
HNL,2019,4614,1657,1.6732651729388732,21.31869,-157.92241,"['SEA', 'OGG', 'LAX', 'ITO', 'LIH', 'SJC', 'PHX', 'SFO', 'SAN', 'SLC', 'OAK', 'ORD', 'MSP', 'ATL', 'ANC', 'EWR', 'LAS', 'SMF', 'JFK', 'LGB', 'DEN', 'PDX', 'IAH', 'BOS', 'DTW', 'PPG']",35.9124403987863
HOB,2019,151,60,4.164383561643835,32.68753,-103.21703,"['IAH', 'DEN']",39.735099337748345
