ORIGIN,ORIGIN_CITY,AIRLINE,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
ATW,Appleton,Endeavor Air Inc.,2021,206,44,-5.233009708737864,44.25741,-88.51948,"['DTW', 'MSP', 'ATL']",21.35922330097087
ATW,Appleton,Envoy Air,2021,184,42,-3.2888888888888888,44.25741,-88.51948,['ORD'],22.82608695652174
ATW,Appleton,Republic Airline,2021,53,9,-9.52,44.25741,-88.51948,['CLT'],16.9811320754717
ATW,Appleton,SkyWest Airlines Inc.,2021,57,33,24.859649122807017,44.25741,-88.51948,"['DEN', 'MSP', 'DTW', 'ORD']",57.89473684210527
AUS,Austin,Alaska Airlines Inc.,2021,138,54,0.5661764705882353,30.19453,-97.66987,"['SEA', 'SFO', 'LAX', 'PDX']",39.130434782608695
AUS,Austin,Allegiant Air,2021,89,45,16.317073170731707,30.19453,-97.66987,"['SNA', 'BZN', 'ABQ', 'DSM', 'PIT', 'LAS', 'GRR', 'AVL', 'MEM', 'SDF', 'IND', 'TYS', 'XNA', 'TUL', 'SGF']",50.56179775280899
AUS,Austin,American Airlines Inc.,2021,933,248,1.269018743109151,30.19453,-97.66987,"['LAX', 'PHX', 'CLT', 'SJU', 'BOS', 'LAS', 'MIA', 'MCO', 'ORD', 'JFK', 'TPA', 'PHL', 'DEN']",26.580921757770632
AUS,Austin,Delta Air Lines Inc.,2021,971,236,3.788923719958203,30.19453,-97.66987,"['MSP', 'ATL', 'SLC', 'LAX', 'DTW', 'SEA', 'JFK', 'BOS']",24.3048403707518
AUS,Austin,Envoy Air,2021,181,57,4.888268156424581,30.19453,-97.66987,"['TPA', 'MSY', 'IND', 'JAX', 'ELP', 'MIA', 'RNO', 'BNA', 'MCI', 'OKC', 'ORD', 'TUL']",31.491712707182316
AUS,Austin,Frontier Airlines Inc.,2021,81,25,0.6375,30.19453,-97.66987,"['LAS', 'MCO', 'DEN', 'TPA']",30.864197530864196
AUS,Austin,Hawaiian Airlines Inc.,2021,10,8,11.7,30.19453,-97.66987,['HNL'],80.0
AUS,Austin,Horizon Air,2021,136,62,2.234848484848485,30.19453,-97.66987,"['SJC', 'SAN', 'SFO', 'LAX', 'BOI']",45.588235294117645
AUS,Austin,JetBlue Airways,2021,222,96,5.868544600938967,30.19453,-97.66987,"['JFK', 'EWR', 'LAX', 'SFO', 'BOS', 'MCO']",43.24324324324324
AUS,Austin,Mesa Airlines Inc.,2021,48,8,-10.434782608695652,30.19453,-97.66987,['IAH'],16.666666666666664
AUS,Austin,Republic Airline,2021,221,61,-1.0744186046511628,30.19453,-97.66987,"['BNA', 'EWR', 'PHL', 'DTW', 'ORD', 'MIA', 'MSY', 'VPS', 'IND', 'ELP', 'MCO', 'CLT']",27.601809954751133
AUS,Austin,SkyWest Airlines Inc.,2021,414,154,4.435,30.19453,-97.66987,"['IAH', 'DEN', 'SJC', 'ELP', 'PDX', 'SFO', 'SAN', 'MSP', 'SLC', 'LAX', 'BOI', 'SEA', 'PSP', 'ORD', 'ASE']",37.19806763285024
AUS,Austin,Southwest Airlines Co.,2021,2259,978,8.090081892629664,30.19453,-97.66987,"['LAX', 'DAL', 'DEN', 'BWI', 'TPA', 'LAS', 'OAK', 'IND', 'SLC', 'MIA', 'LGB', 'MCO', 'ELP', 'PHX', 'SAN', 'MDW', 'BNA', 'HOU', 'SJC', 'ABQ', 'SNA', 'SMF', 'BUR', 'MSY', 'ATL', 'MCI', 'MSP', 'PIT', 'ORD', 'LBB', 'VPS', 'OKC', 'PNS']",43.29349269588313
AUS,Austin,Spirit Air Lines,2021,162,59,6.574193548387097,30.19453,-97.66987,"['MCO', 'LAS', 'LAX', 'EWR', 'DTW', 'ATL', 'PNS']",36.41975308641975
AUS,Austin,United Air Lines Inc.,2021,900,250,1.0395927601809956,30.19453,-97.66987,"['IAH', 'ORD', 'DEN', 'EWR', 'SFO', 'LAX']",27.77777777777778
AVL,Asheville,Allegiant Air,2021,109,42,8.186915887850468,35.43619,-82.54181,"['BOS', 'EYW', 'MDW', 'EWR', 'BWI', 'HOU', 'LAS', 'VPS', 'AUS', 'MSP', 'DEN']",38.53211009174312
AVL,Asheville,Delta Air Lines Inc.,2021,71,8,-11.816901408450704,35.43619,-82.54181,['ATL'],11.267605633802818
AVL,Asheville,Endeavor Air Inc.,2021,104,18,-6.278846153846154,35.43619,-82.54181,"['ATL', 'LGA']",17.307692307692307
AVL,Asheville,PSA Airlines Inc.,2021,170,46,-4.035294117647059,35.43619,-82.54181,['CLT'],27.058823529411764
AVL,Asheville,Republic Airline,2021,96,38,10.212765957446809,35.43619,-82.54181,"['CLT', 'ATL', 'ORD', 'LGA', 'PHL', 'BOS']",39.58333333333333
AVL,Asheville,SkyWest Airlines Inc.,2021,74,26,46.6,35.43619,-82.54181,['ORD'],35.13513513513514
AZA,Phoenix,Allegiant Air,2021,447,198,9.956719817767654,33.43417,-112.00806,"['SGF', 'GRR', 'BZN', 'LAS', 'GTF', 'GRI', 'PIA', 'OAK', 'FWA', 'BIL', 'DSM', 'FSD', 'MSO', 'MOT', 'XNA', 'EUG', 'BOI', 'BLI', 'IDA', 'MLI', 'RAP', 'GJT', 'FAR', 'TVC', 'PIT', 'GFK', 'SAN', 'SMX', 'ICT', 'HOU', 'FCA', 'ATW', 'JAC', 'SPI', 'OMA', 'SBN', 'MEM', 'SNA', 'FNT', 'MFR', 'AMA', 'MSP']",44.29530201342282
AZO,Kalamazoo,Endeavor Air Inc.,2021,108,19,-5.944444444444445,42.23488,-85.55206,"['DTW', 'MSP']",17.59259259259259
AZO,Kalamazoo,Envoy Air,2021,138,10,-14.565217391304348,42.23488,-85.55206,['ORD'],7.246376811594203
AZO,Kalamazoo,SkyWest Airlines Inc.,2021,6,0,-8.333333333333334,42.23488,-85.55206,['ORD'],0.0
BET,Bethel,Alaska Airlines Inc.,2021,76,47,7.918918918918919,60.77978,-161.838,['ANC'],61.8421052631579
BFL,Bakersfield,Envoy Air,2021,4,2,26.25,35.4336,-119.05677,['PHX'],50.0
BFL,Bakersfield,Mesa Airlines Inc.,2021,29,9,21.06896551724138,35.4336,-119.05677,['PHX'],31.03448275862069
BFL,Bakersfield,SkyWest Airlines Inc.,2021,159,43,1.4177215189873418,35.4336,-119.05677,"['PHX', 'DEN', 'SFO']",27.044025157232703
BGM,Binghamton,Endeavor Air Inc.,2021,36,8,-4.055555555555555,42.20848,-75.97961,['DTW'],22.22222222222222
BGR,Bangor,American Airlines Inc.,2021,11,3,-9.818181818181818,44.80744,-68.82814,"['CLT', 'PHL']",27.27272727272727
BGR,Bangor,Delta Air Lines Inc.,2021,3,2,-6.333333333333333,44.80744,-68.82814,['ATL'],66.66666666666666
BGR,Bangor,Endeavor Air Inc.,2021,73,13,-11.32876712328767,44.80744,-68.82814,"['BOS', 'LGA', 'JFK', 'DTW']",17.80821917808219
BGR,Bangor,Envoy Air,2021,22,4,-15.2,44.80744,-68.82814,['ORD'],18.181818181818183
BGR,Bangor,PSA Airlines Inc.,2021,96,33,-0.18947368421052632,44.80744,-68.82814,"['PHL', 'CLT']",34.375
BGR,Bangor,Republic Airline,2021,131,38,-1.4961832061068703,44.80744,-68.82814,"['JFK', 'ORD', 'DTW', 'PHL', 'CLT', 'EWR', 'BOS']",29.00763358778626
BGR,Bangor,SkyWest Airlines Inc.,2021,18,2,-18.25,44.80744,-68.82814,['ORD'],11.11111111111111
BHM,Birmingham,American Airlines Inc.,2021,8,4,-2.75,33.56294,-86.75355,['CLT'],50.0
